8aea5ef30c3e34c48f0b80a4cc29f0e6,-88,10:38:58:616
47f9e7b877909d61da09f507bb751b04,-87,10:38:58:632
47f9e7b877909d61da09f507bb751b04,-85,10:38:58:634
c101c913291d64dd3c9d5dc8d751187b,-61,10:38:58:936
4805843a27855f88fe66e37d64ca0efd,-65,10:38:59:502
0238d7a6310dc6ef05623393bf6b0139,-73,10:38:59:502
8aea5ef30c3e34c48f0b80a4cc29f0e6,-86,10:38:59:551
8aea5ef30c3e34c48f0b80a4cc29f0e6,-88,10:38:59:553
d181f38f222b19c618d67fb7bc6e2211,-78,10:39:00:411
0238d7a6310dc6ef05623393bf6b0139,-73,10:39:00:420
ee205aea6ae6063b179b455255982909,-60,10:39:00:708
ee205aea6ae6063b179b455255982909,-59,10:39:00:709
37a30bdf5ba7c1e63721e0ab518c0ab7,-75,10:39:01:303
37a30bdf5ba7c1e63721e0ab518c0ab7,-74,10:39:01:305
5e53ebaa2d5267083f4b897432c51d5d,-78,10:39:01:912
5e53ebaa2d5267083f4b897432c51d5d,-79,10:39:01:914
37a30bdf5ba7c1e63721e0ab518c0ab7,-77,10:39:02:220
37a30bdf5ba7c1e63721e0ab518c0ab7,-77,10:39:02:222
d181f38f222b19c618d67fb7bc6e2211,-78,10:39:02:817
8aea5ef30c3e34c48f0b80a4cc29f0e6,-87,10:39:03:118
8aea5ef30c3e34c48f0b80a4cc29f0e6,-86,10:39:03:120
3714eb274bd3daa507b08eda8dbe2882,-74,10:39:03:411
4805843a27855f88fe66e37d64ca0efd,-56,10:39:03:412
eaea520a2ebf1ba61e639e4005bba6cd,-74,10:39:03:697
0238d7a6310dc6ef05623393bf6b0139,-77,10:39:03:715
0238d7a6310dc6ef05623393bf6b0139,-78,10:39:03:717
4805843a27855f88fe66e37d64ca0efd,-53,10:39:04:293
c101c913291d64dd3c9d5dc8d751187b,-62,10:39:04:296
ee205aea6ae6063b179b455255982909,-53,10:39:04:309
ee205aea6ae6063b179b455255982909,-53,10:39:04:310
eaea520a2ebf1ba61e639e4005bba6cd,-78,10:39:04:637
37a30bdf5ba7c1e63721e0ab518c0ab7,-74,10:39:05:704
37a30bdf5ba7c1e63721e0ab518c0ab7,-72,10:39:05:706
5e53ebaa2d5267083f4b897432c51d5d,-77,10:39:06:058
5e53ebaa2d5267083f4b897432c51d5d,-78,10:39:06:060
37a30bdf5ba7c1e63721e0ab518c0ab7,-74,10:39:06:068
37a30bdf5ba7c1e63721e0ab518c0ab7,-75,10:39:06:071
eace47ed8f60f970706d0f8ddf8ba420,-46,10:39:06:423
eaea520a2ebf1ba61e639e4005bba6cd,-76,10:39:06:427
d181f38f222b19c618d67fb7bc6e2211,-73,10:39:06:756
4805843a27855f88fe66e37d64ca0efd,-64,10:39:07:111
d181f38f222b19c618d67fb7bc6e2211,-75,10:39:07:117
f38e95e4734136a2a653a08075e2d212,-83,10:39:07:744
f38e95e4734136a2a653a08075e2d212,-83,10:39:07:746
0238d7a6310dc6ef05623393bf6b0139,-75,10:39:07:750
0238d7a6310dc6ef05623393bf6b0139,-76,10:39:07:753
eaea520a2ebf1ba61e639e4005bba6cd,-72,10:39:07:757
37a30bdf5ba7c1e63721e0ab518c0ab7,-76,10:39:08:086
37a30bdf5ba7c1e63721e0ab518c0ab7,-76,10:39:08:088
0238d7a6310dc6ef05623393bf6b0139,-77,10:39:08:115
ee205aea6ae6063b179b455255982909,-51,10:39:08:443
f38e95e4734136a2a653a08075e2d212,-84,10:39:08:450
37a30bdf5ba7c1e63721e0ab518c0ab7,-76,10:39:08:459
f38e95e4734136a2a653a08075e2d212,-86,10:39:08:808
d181f38f222b19c618d67fb7bc6e2211,-77,10:39:08:812
f38e95e4734136a2a653a08075e2d212,-84,10:39:09:166
f38e95e4734136a2a653a08075e2d212,-84,10:39:09:167
eaea520a2ebf1ba61e639e4005bba6cd,-77,10:39:10:574
5e53ebaa2d5267083f4b897432c51d5d,-73,10:39:11:294
5e53ebaa2d5267083f4b897432c51d5d,-72,10:39:11:296
eaea520a2ebf1ba61e639e4005bba6cd,-77,10:39:11:306
d181f38f222b19c618d67fb7bc6e2211,-77,10:39:11:636
